"STATISTIC","Statistic Label","TLIST(A1)","Census Year","C04167V04938","Electoral Divisions","UNIT","VALUE"
"F1011C01","Population - 2022","2022","2022","2ae19629-1da2-13a3-e055-000000000001","Merchants Quay B, Dublin City","Number","4343"
"F1011C01","Population - 2022","2022","2022","2ae19629-1da3-13a3-e055-000000000001","Merchants Quay C, Dublin City","Number","3814"
"F1011C01","Population - 2022","2022","2022","2ae19629-1da4-13a3-e055-000000000001","Merchants Quay D, Dublin City","Number","2575"
"F1011C01","Population - 2022","2022","2022","2ae19629-1da5-13a3-e055-000000000001","Merchants Quay E, Dublin City","Number","2651"
"F1011C01","Population - 2022","2022","2022","2ae19629-1da6-13a3-e055-000000000001","Merchants Quay F, Dublin City","Number","2328"
"F1011C01","Population - 2022","2022","2022","2ae19629-1da7-13a3-e055-000000000001","Mountjoy A, Dublin City","Number","7374"
"F1011C01","Population - 2022","2022","2022","2ae19629-1da8-13a3-e055-000000000001","Mountjoy B, Dublin City","Number","4537"
"F1011C01","Population - 2022","2022","2022","2ae19629-1db2-13a3-e055-000000000001","North City, Dublin City","Number","6749"
"F1011C01","Population - 2022","2022","2022","2ae19629-1db3-13a3-e055-000000000001","North Dock A, Dublin City","Number","1406"
"F1011C01","Population - 2022","2022","2022","2ae19629-1db4-13a3-e055-000000000001","North Dock B, Dublin City","Number","10173"
"F1011C01","Population - 2022","2022","2022","2ae19629-1db5-13a3-e055-000000000001","North Dock C, Dublin City","Number","4328"
"F1011C01","Population - 2022","2022","2022","2ae19629-1db6-13a3-e055-000000000001","Pembroke East A, Dublin City","Number","5017"
"F1011C01","Population - 2022","2022","2022","2ae19629-1db7-13a3-e055-000000000001","Pembroke East B, Dublin City","Number","3852"
"F1011C01","Population - 2022","2022","2022","2ae19629-1db8-13a3-e055-000000000001","Pembroke East C, Dublin City","Number","4179"
"F1011C01","Population - 2022","2022","2022","2ae19629-1db9-13a3-e055-000000000001","Pembroke East D, Dublin City","Number","5368"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dba-13a3-e055-000000000001","Pembroke East E, Dublin City","Number","3924"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dbb-13a3-e055-000000000001","Pembroke West A, Dublin City","Number","5144"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dbc-13a3-e055-000000000001","Pembroke West B, Dublin City","Number","3214"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dbd-13a3-e055-000000000001","Pembroke West C, Dublin City","Number","4385"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dbe-13a3-e055-000000000001","Phoenix Park, Dublin City","Number","1465"
