STATISTIC,STATISTIC Label,TLIST(A1),Year,Town,C02172V02618,Type of Vehicle Registration,C01841V02268,Type of Fuel,UNIT,VALUE
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01601,New Public Service Vehicles,2,Diesel,Number,929
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01601,New Public Service Vehicles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01601,New Public Service Vehicles,4,Petrol and electric hybrid,Number,7
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01601,New Public Service Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01601,New Public Service Vehicles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,016011,New Small Public Service Vehicles,-,All fuel types,Number,500
TEA17,New Vehicles Licensed for the First Time,2016,2016,,016011,New Small Public Service Vehicles,1,Petrol,Number,21
TEA17,New Vehicles Licensed for the First Time,2016,2016,,016011,New Small Public Service Vehicles,2,Diesel,Number,472
TEA17,New Vehicles Licensed for the First Time,2016,2016,,016011,New Small Public Service Vehicles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,016011,New Small Public Service Vehicles,4,Petrol and electric hybrid,Number,7
TEA17,New Vehicles Licensed for the First Time,2016,2016,,016011,New Small Public Service Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,016011,New Small Public Service Vehicles,9,Diesel and electric hybrid,Number,0
